id_match,team_team_abbrev_name,distancia
104052,JOV,3.373154110954174
104052,UCM,4.024591972523237
104053,GIR,4.329260898631692
104053,UNI,4.916472011949372
104054,DGC,4.089881842567041
104054,MBA,4.40262127755822
104055,BAX,3.6486128818527095
104055,VBC,3.893645575590212
104056,BAR,3.908262075663
104056,COV,4.875022343999023
104057,BKN,4.043523917019289
104057,LLT,4.230313107318653
104058,CAZ,3.823251671438116
104058,HIO,4.413425753438419
104059,BRE,3.6629813677366845
104059,SBB,4.23865110147078
104060,COR,5.360660867638843
104060,RMB,4.196600700545778
104061,BKN,4.991684960971
104061,MBA,5.494371010540138
104062,BRE,4.616389697024914
104062,LLT,4.614355051378226
104063,SBB,3.7809934608719002
104063,UCM,3.337443005178136
104064,JOV,4.766568368494354
104064,VBC,3.8282216306795935
104065,CAZ,3.897708303784772
104065,RMB,3.880784997216136
104066,COR,4.598896554301819
104066,DGC,4.776541117536305
104067,BAX,4.584184107774122
104067,GIR,3.997174167674234
104068,COV,5.330844336141338
104068,UNI,3.3128833057701494
104069,BAR,3.876627165801942
104069,HIO,4.505284937880516
104070,BKN,3.871801865632133
104070,UCM,5.664430376534871
104071,HIO,4.3368825462671925
104071,UNI,3.8500204588564855
104072,COR,5.228901147196939
104072,MBA,4.351242347312485
104073,COV,4.564831109812082
104073,GIR,3.9614401199637195
104074,RMB,4.542149592575576
104074,SBB,4.225788720730567
104075,BAX,4.058928033372056
104075,DGC,3.9249326183543065
104076,BRE,3.9918877199526386
104076,VBC,5.48461572431723
104077,CAZ,4.1100360135690295
104077,JOV,3.7934902373476476
104078,BAR,5.239257241429505
104078,LLT,5.174234016105617
104079,BRE,4.250156849014979
104079,JOV,3.6918463755840722
104080,COR,3.916806688522535
104080,UNI,4.928449143831129
104081,DGC,4.829472327151363
104081,SBB,5.021244101898931
104082,CAZ,3.4642772816856056
104082,UCM,4.048205895215381
104083,GIR,4.549390340489319
104083,RMB,3.813272193794371
104084,BAX,4.9480162917239525
104084,HIO,4.233323610609509
104085,COV,4.360385492938036
104085,LLT,3.8688711822977
104086,MBA,5.011006371946764
104086,VBC,4.1965473619570846
104087,BAR,4.281055443101138
104087,BKN,4.403079382865359
104088,GIR,4.3116215954549135
104088,UCM,4.429268058851543
104089,BKN,4.972774734980207
104089,JOV,4.680670974788611
104090,COV,4.754526224394384
104090,MBA,4.021574644377849
104091,CAZ,4.124536406230727
104091,COR,3.9850278215847075
104092,BAX,4.098003321633241
104092,RMB,4.071864419735501
104093,DGC,4.741632074074095
104093,LLT,3.7872382784275365
104094,SBB,3.5860406302094003
104094,VBC,4.382097740750783
104095,BRE,4.208653803174241
104095,HIO,4.751159295055648
104096,BAR,3.889217962124872
104096,UNI,4.5730691358939355
104097,GIR,4.458536785360241
104097,JOV,4.315238627749356
104098,BRE,3.539504367747982
104098,CAZ,4.054230470242933
104099,BAX,4.13203991509382
104099,UNI,3.9521515778011143
104100,COV,3.92879711822999
104100,SBB,3.843270396697152
104101,LLT,5.023513633607305
104101,VBC,4.285118363921958
104102,HIO,4.797792340568307
104102,MBA,4.243941062924782
104103,BAR,4.123120060234302
104103,COR,4.91550587104044
104104,BKN,4.778804583577047
104104,DGC,4.291855369009496
104105,RMB,3.6010289100004256
104105,UCM,4.385509081433191
104106,BAX,3.602228184712973
104106,COV,5.074737321413088
104107,MBA,4.496657318496492
104107,UCM,4.781176373557944
104108,CAZ,3.584824734623241
104108,VBC,4.680886319470353
104109,JOV,4.119659195842961
104109,UNI,3.8562000341904366
104110,GIR,4.617521815788059
104110,SBB,4.343373554191223
104111,DGC,4.614608396314974
104111,RMB,4.473537923828276
104112,BKN,4.715962708143055
104112,HIO,5.338872072670678
104113,COR,4.159032311199755
104113,LLT,4.964872205935714
104114,BAR,3.1520731442167
104114,BRE,4.055666936629379
104115,BRE,3.7138018782720543
104115,UCM,4.36129673686089
104116,COR,4.982764209593637
104116,COV,3.9914392464590587
104117,BAX,3.5171197076453793
104117,LLT,4.181072861373848
104118,BKN,4.96157010892854
104118,CAZ,4.318998180310275
104119,HIO,4.548306932718964
104119,RMB,4.194905806140227
104120,DGC,4.617957510023405
104120,GIR,4.274833043466605
104121,MBA,4.473597313232439
104121,UNI,4.596069876958945
104122,JOV,3.6921062701522507
104122,SBB,3.8408212120286893
104123,BAR,4.217449124541614
104123,VBC,4.69267281419977
104124,LLT,5.119144650118641
104124,UNI,4.839540566319219
104125,BRE,3.5541446285995866
104125,COV,4.568466129551932
104126,CAZ,4.024448887506463
104126,SBB,4.338811115618802
104127,GIR,3.841844375757416
104127,MBA,4.200718482684404
104128,BAR,3.555586467179166
104128,BAX,4.620640464884347
104129,DGC,3.9267536088152086
104129,UCM,4.5177039318919325
104130,COR,4.650086519124942
104130,HIO,5.369549716924364
104131,BKN,4.432709595060193
104131,VBC,4.886119791273044
104132,JOV,4.26005345368656
104132,RMB,4.684926652980251
104133,CAZ,3.4107220751434246
104133,MBA,5.090834972310461
104134,BAX,4.8317128162772365
104134,COR,4.888906393292191
104135,HIO,4.447227086510624
104135,LLT,4.361622104656214
104136,GIR,4.34182339555623
104136,VBC,4.293542836163165
104137,BKN,4.30050877592765
104137,SBB,3.5389234062227874
104138,BRE,4.8561716185749635
104138,DGC,4.757387739090067
104139,COV,3.9544967334313363
104139,JOV,3.7236992138933744
104140,BAR,4.664821708394287
104140,UCM,4.793891580099203
104141,RMB,3.856379678559865
104141,UNI,4.528963793479263
104142,BAX,3.9768875049755144
104142,MBA,3.0915217011952714
104143,UCM,4.0226002712892415
104143,VBC,4.068040415445286
104144,COR,3.9681839761204936
104144,GIR,4.672651475397724
104145,DGC,5.13184667714138
104145,UNI,4.208435439977599
104146,JOV,4.384379870364881
104146,LLT,4.814174793392603
104147,BRE,4.997581079780484
104147,RMB,4.253802553911522
104148,BKN,3.881228389478593
104148,COV,3.3279446710787424
104149,HIO,5.159033659494246
104149,SBB,4.778861112797188
104150,BAR,4.963428286702517
104150,CAZ,3.578973540144035
104151,BRE,3.770906745276649
104151,GIR,4.465652859948793
104152,COV,5.084459381992828
104152,HIO,4.954670683306997
104153,LLT,4.263498979061893
104153,UCM,4.2563842165694314
104154,BKN,4.200832728781369
104154,UNI,4.870834241336136
104155,COR,3.9893652610602675
104155,JOV,5.115187370476676
104156,CAZ,5.081993131159675
104156,DGC,4.131989216296948
104157,BAR,4.574633733316936
104157,MBA,4.2657547357906545
104158,BAX,4.38503073166101
104158,SBB,4.051468376441491
104159,RMB,3.593575846554004
104159,VBC,4.024740306139055
104160,HIO,4.336267732413039
104160,JOV,4.95296493889945
104161,DGC,4.505141000520303
104161,VBC,5.048391625822163
104162,COR,4.041455754942668
104162,SBB,5.367891857021879
104163,BRE,4.507045738710567
104163,UNI,4.4572167728645224
